Month,Total_Sales,MoM_Growth_Pct,Z_Score,MoM_Rolling_3M
2010-02,190332983.04,,,
2010-03,181919802.5,-4.420243,-0.307437,
2010-04,231412368.05,27.205705,1.110258,
2010-05,186710934.34,-19.316787,-0.975204,1.156225
2010-06,192246172.36,2.964603,0.023603,3.617841
2010-07,232580125.98,20.980368,0.831195,1.542728
2010-08,187640110.89,-19.32238,-0.975454,1.540864
2010-09,177267896.37,-5.527717,-0.357082,-1.28991
2010-10,217161824.02,22.50488,0.899534,-0.781739
2010-11,202853370.14,-6.588844,-0.404649,3.462773
2010-12,288760532.72,42.349389,1.789103,19.421808
2011-01,163703966.83,-43.308053,-2.050659,-2.515836
2011-02,186331327.87,13.822121,0.510312,4.287819
2011-03,179356448.29,-3.743267,-0.27709,-11.0764
2011-04,226526510.97,26.299619,1.06964,12.126158
2011-05,181648158.16,-19.811523,-0.997381,0.914943
2011-06,189773385.19,4.473058,0.091222,3.653718
2011-07,229911398.87,21.150497,0.838821,1.937344
2011-08,188599332.25,-17.96869,-0.914773,2.551621
2011-09,220847738.42,17.098897,0.6572,6.760235
2011-10,183261283.15,-17.019171,-0.872209,-5.962988
2011-11,210162354.87,14.679081,0.548727,4.919602
2011-12,288078102.48,37.074074,1.552626,11.577995
2012-01,168894471.66,-41.371986,-1.963871,3.46039
2012-02,192063579.54,13.718097,0.505649,3.140062
2012-03,231509650.49,20.538028,0.811366,-2.371954
2012-04,188920905.95,-18.396099,-0.933932,5.286675
2012-05,188766479.45,-0.081741,-0.112955,0.686729
2012-06,240610329.29,27.464542,1.12186,2.995567
2012-07,187509452.4,-22.069242,-1.098588,1.771186
2012-08,236850765.68,26.314041,1.070287,10.56978
2012-09,180645544.47,-23.730226,-1.173045,-6.495143
2012-10,184361680.42,2.057142,-0.017076,1.546986
