Store,Momentum_Score
35,1.338799
29,1.258972
28,1.201622
17,1.169977
18,1.129394
15,1.013827
23,0.969949
41,0.934779
22,0.934105
39,0.884915
7,0.870749
45,0.79756
27,0.796232
21,0.780237
40,0.756255
24,0.719461
12,0.677095
25,0.673913
16,0.672703
13,0.671745
5,0.662404
32,0.648677
42,0.63879
14,0.629711
9,0.6225
19,0.607771
20,0.598956
4,0.588567
26,0.587013
6,0.579509
10,0.556783
34,0.546832
38,0.532201
8,0.52253
1,0.496896
2,0.489105
11,0.459343
44,0.44182
3,0.423928
33,0.402082
31,0.381962
43,0.214175
37,0.163905
30,0.119912
36,-0.187804
