Store,Total_Sales,Avg_Weekly_Sales,Rank
20,301397792.46,29508.3,1
4,299543953.38,29161.21,2
14,288999911.34,28784.85,3
13,286517703.8,27355.14,4
2,275382440.98,26898.07,5
10,271617713.89,26332.3,6
27,253855916.88,24826.98,7
6,223756130.64,21913.24,8
1,222402808.85,21710.54,9
39,207445542.47,21000.76,10
19,206634862.1,20362.13,11
31,199613905.5,19681.91,12
23,198750617.85,19776.18,13
24,194016021.28,18969.11,14
11,193962786.8,19276.76,15
28,189263680.58,18714.89,16
41,181341934.89,17976.0,17
32,166819246.16,16351.62,18
18,155114734.21,15733.31,19
22,147075648.57,15181.22,20
12,144287230.15,14867.31,21
26,143416393.79,14554.13,22
34,138249763.0,13522.08,23
40,137870309.79,13763.63,24
35,131520672.08,13803.6,25
8,129951181.13,13133.01,26
17,127782138.83,12954.39,27
45,112395341.42,11662.9,28
21,108117878.92,11283.44,29
25,101061179.17,10308.16,30
43,90565435.41,13415.11,31
15,89133683.92,9002.49,32
7,81598275.14,8358.77,33
42,79565752.43,11443.37,34
9,77789218.99,8772.89,35
29,77141554.31,8158.81,36
16,74252425.4,7863.22,37
37,74202740.32,10297.36,38
30,62716885.12,8764.24,39
3,57586735.07,6373.03,40
38,55159626.42,7492.48,41
36,53412214.97,8584.41,42
5,45475688.9,5053.42,43
44,43293087.84,6038.93,44
33,37160221.96,5728.41,45
