Date,Total_Weekly_Sales,Franchise_Avg_Weekly_Sales
2010-02-05,49750740.5,15981.26
2010-02-12,48336677.63,15981.26
2010-02-19,48276993.78,15981.26
2010-02-26,43968571.13,15981.26
2010-03-05,46871470.3,15981.26
2010-03-12,45925396.51,15981.26
2010-03-19,44988974.64,15981.26
2010-03-26,44133961.05,15981.26
2010-04-02,50423831.26,15981.26
2010-04-09,47365290.44,15981.26
2010-04-16,45183667.08,15981.26
2010-04-23,44734452.56,15981.26
2010-04-30,43705126.71,15981.26
2010-05-07,48503243.52,15981.26
2010-05-14,45330080.2,15981.26
2010-05-21,45120108.06,15981.26
2010-05-28,47757502.56,15981.26
2010-06-04,50188543.12,15981.26
2010-06-11,47826546.72,15981.26
2010-06-18,47622046.23,15981.26
2010-06-25,46609036.29,15981.26
2010-07-02,48917484.5,15981.26
2010-07-09,47899529.37,15981.26
2010-07-16,46243899.58,15981.26
2010-07-23,44888849.11,15981.26
2010-07-30,44630363.42,15981.26
2010-08-06,48204999.12,15981.26
2010-08-13,46464418.41,15981.26
2010-08-20,47060952.92,15981.26
2010-08-27,45909740.44,15981.26
2010-09-03,47194257.61,15981.26
2010-09-10,45634397.84,15981.26
2010-09-17,43080726.51,15981.26
2010-09-24,41358514.41,15981.26
2010-10-01,42239875.87,15981.26
2010-10-08,45102974.23,15981.26
2010-10-15,43149473.45,15981.26
2010-10-22,43066669.52,15981.26
2010-10-29,43602830.95,15981.26
2010-11-05,45781981.89,15981.26
2010-11-12,46124800.83,15981.26
2010-11-19,45125584.18,15981.26
2010-11-26,65821003.24,15981.26
2010-12-03,49909027.88,15981.26
2010-12-10,55666770.39,15981.26
2010-12-17,61820799.85,15981.26
2010-12-24,80931415.6,15981.26
2010-12-31,40432519.0,15981.26
2011-01-07,42775787.77,15981.26
2011-01-14,40673678.04,15981.26
2011-01-21,40654648.03,15981.26
2011-01-28,39599852.99,15981.26
2011-02-04,46153111.12,15981.26
2011-02-11,47336192.79,15981.26
2011-02-18,48716164.12,15981.26
2011-02-25,44125859.84,15981.26
2011-03-04,46980603.74,15981.26
2011-03-11,44627319.4,15981.26
2011-03-18,44872325.97,15981.26
2011-03-25,42876199.18,15981.26
2011-04-01,43458991.19,15981.26
2011-04-08,45887466.8,15981.26
2011-04-15,44973328.14,15981.26
2011-04-22,48676692.06,15981.26
2011-04-29,43530032.78,15981.26
2011-05-06,46861958.29,15981.26
2011-05-13,45446144.82,15981.26
2011-05-20,44046598.01,15981.26
2011-05-27,45293457.04,15981.26
2011-06-03,48771994.18,15981.26
2011-06-10,47669734.66,15981.26
2011-06-17,47447561.77,15981.26
2011-06-24,45884094.58,15981.26
2011-07-01,47578519.5,15981.26
2011-07-08,47859263.78,15981.26
2011-07-15,45515929.92,15981.26
2011-07-22,45274411.39,15981.26
2011-07-29,43683274.28,15981.26
2011-08-05,48015466.97,15981.26
2011-08-12,46249569.21,15981.26
2011-08-19,46917347.62,15981.26
2011-08-26,47416948.45,15981.26
2011-09-02,45376623.27,15981.26
2011-09-09,46763227.53,15981.26
2011-09-16,43793960.08,15981.26
2011-09-23,42718096.73,15981.26
2011-09-30,42195830.81,15981.26
2011-10-07,47211688.36,15981.26
2011-10-14,44374820.3,15981.26
2011-10-21,45818953.44,15981.26
2011-10-28,45855821.05,15981.26
2011-11-04,48655544.3,15981.26
2011-11-11,48474224.75,15981.26
2011-11-18,46438980.56,15981.26
2011-11-25,66593605.26,15981.26
2011-12-02,49390556.49,15981.26
2011-12-09,55561147.7,15981.26
2011-12-16,60085695.94,15981.26
2011-12-23,76998241.31,15981.26
2011-12-30,46042461.04,15981.26
2012-01-06,44955421.95,15981.26
2012-01-13,42023078.48,15981.26
2012-01-20,42080996.56,15981.26
2012-01-27,39834974.67,15981.26
2012-02-03,46085608.09,15981.26
2012-02-10,50009407.92,15981.26
2012-02-17,50197056.96,15981.26
2012-02-24,45771506.57,15981.26
2012-03-02,46861034.97,15981.26
2012-03-09,47480454.11,15981.26
2012-03-16,46901504.94,15981.26
2012-03-23,44993794.45,15981.26
2012-03-30,45272862.02,15981.26
2012-04-06,53502315.87,15981.26
2012-04-13,46629261.41,15981.26
2012-04-20,45072529.78,15981.26
2012-04-27,43716798.89,15981.26
2012-05-04,47124197.93,15981.26
2012-05-11,46925878.99,15981.26
2012-05-18,46823939.22,15981.26
2012-05-25,47892463.31,15981.26
2012-06-01,48281649.72,15981.26
2012-06-08,49651171.78,15981.26
2012-06-15,48412110.7,15981.26
2012-06-22,47668284.97,15981.26
2012-06-29,46597112.12,15981.26
2012-07-06,51253021.88,15981.26
2012-07-13,46099732.1,15981.26
2012-07-20,46059543.45,15981.26
2012-07-27,44097154.97,15981.26
2012-08-03,47485899.56,15981.26
2012-08-10,47403451.04,15981.26
2012-08-17,47354452.05,15981.26
2012-08-24,47447323.6,15981.26
2012-08-31,47159639.43,15981.26
2012-09-07,48330059.31,15981.26
2012-09-14,44226038.65,15981.26
2012-09-21,44354547.11,15981.26
2012-09-28,43734899.4,15981.26
2012-10-05,47566639.31,15981.26
2012-10-12,46128514.25,15981.26
2012-10-19,45122410.57,15981.26
2012-10-26,45544116.29,15981.26
