Date,Store,Avg_Weekly_Sales,Last_Weeks_Sales,WoW_Change,WoW_Percent_Change
2010-02-05,1,1643690.9,,,
2010-02-12,1,1641957.44,1643690.9,-1733.46,-0.11
2010-02-19,1,1611968.17,1641957.44,-29989.27,-1.83
2010-02-26,1,1409727.59,1611968.17,-202240.58,-12.55
2010-03-05,1,1554806.68,1409727.59,145079.09,10.29
2010-03-12,1,1439541.59,1554806.68,-115265.09,-7.41
2010-03-19,1,1472515.79,1439541.59,32974.2,2.29
2010-03-26,1,1404429.92,1472515.79,-68085.87,-4.62
2010-04-02,1,1594968.28,1404429.92,190538.36,13.57
2010-04-09,1,1545418.53,1594968.28,-49549.75,-3.11
2010-04-16,1,1466058.28,1545418.53,-79360.25,-5.14
2010-04-23,1,1391256.12,1466058.28,-74802.16,-5.1
2010-04-30,1,1425100.71,1391256.12,33844.59,2.43
2010-05-07,1,1603955.12,1425100.71,178854.41,12.55
2010-05-14,1,1494251.5,1603955.12,-109703.62,-6.84
2010-05-21,1,1399662.07,1494251.5,-94589.43,-6.33
2010-05-28,1,1432069.95,1399662.07,32407.88,2.32
2010-06-04,1,1615524.71,1432069.95,183454.76,12.81
2010-06-11,1,1542561.09,1615524.71,-72963.62,-4.52
2010-06-18,1,1503284.06,1542561.09,-39277.03,-2.55
2010-06-25,1,1422711.6,1503284.06,-80572.46,-5.36
2010-07-02,1,1492418.14,1422711.6,69706.54,4.9
2010-07-09,1,1546074.18,1492418.14,53656.04,3.6
2010-07-16,1,1448938.92,1546074.18,-97135.26,-6.28
2010-07-23,1,1385065.2,1448938.92,-63873.72,-4.41
2010-07-30,1,1371986.6,1385065.2,-13078.6,-0.94
2010-08-06,1,1605491.78,1371986.6,233505.18,17.02
2010-08-13,1,1508237.76,1605491.78,-97254.02,-6.06
2010-08-20,1,1513080.49,1508237.76,4842.73,0.32
2010-08-27,1,1449142.92,1513080.49,-63937.57,-4.23
2010-09-03,1,1540163.53,1449142.92,91020.61,6.28
2010-09-10,1,1507460.69,1540163.53,-32702.84,-2.12
2010-09-17,1,1430378.67,1507460.69,-77082.02,-5.11
2010-09-24,1,1351791.03,1430378.67,-78587.64,-5.49
2010-10-01,1,1453329.5,1351791.03,101538.47,7.51
2010-10-08,1,1508239.93,1453329.5,54910.43,3.78
2010-10-15,1,1459409.1,1508239.93,-48830.83,-3.24
2010-10-22,1,1345454.0,1459409.1,-113955.1,-7.81
2010-10-29,1,1384209.22,1345454.0,38755.22,2.88
2010-11-05,1,1551659.28,1384209.22,167450.06,12.1
2010-11-12,1,1494479.49,1551659.28,-57179.79,-3.69
2010-11-19,1,1483784.18,1494479.49,-10695.31,-0.72
2010-11-26,1,1955624.11,1483784.18,471839.93,31.8
2010-12-03,1,1548033.78,1955624.11,-407590.33,-20.84
2010-12-10,1,1682614.26,1548033.78,134580.48,8.69
2010-12-17,1,1891034.93,1682614.26,208420.67,12.39
2010-12-24,1,2387950.2,1891034.93,496915.27,26.28
2010-12-31,1,1367320.01,2387950.2,-1020630.19,-42.74
2011-01-07,1,1444732.28,1367320.01,77412.27,5.66
2011-01-14,1,1391013.96,1444732.28,-53718.32,-3.72
2011-01-21,1,1327405.42,1391013.96,-63608.54,-4.57
